sch,sex,cur,m1,m2
A,F,328.2,18,28
A,M,406.03,22,56
A,M,386.94,44,51
A,M,166.91,8,13
A,M,328.2,20,39
A,M,328.2,12,41
A,M,160.28,16,30
A,F,94.94,5,13
A,F,98.2,9,17
A,M,331.62,18,32
A,F,328.2,20,32
A,M,191.36,30,46
A,M,191.36,10,37
A,M,191.36,16,36
B,M,211.11,14,27
B,M,131.25,14,23
B,M,131.25,9,23
B,M,203.54,24,44
B,F,211.11,8,17
B,M,44.72,5,23
B,M,135.08,10,17
B,M,150.39,13,27
B,F,85.26,7,21
C,F,129.82,14,18
C,M,187.43,21,47
C,F,129.82,4,21
C,M,144.25,16,34
C,F,141.15,12,26
C,F,115.47,10,16
C,M,129.82,16,27
C,F,155.67,11,23
C,F,187.43,16,35
C,M,141.15,16,31
C,M,189.14,14,20
C,F,187.43,12,23
C,F,187.43,29,37
C,M,189.68,25,31
C,F,183.61,16,19
C,F,129.82,15,21
